spacer_mm,leg,pose,spin_deg,gap_mm,collision
0,front_r,neutral,242.0,7.097215676510431,False
0,front_r,neutral,244.0,7.685703085847883,False
0,front_r,neutral,246.0,8.28439756542195,False
0,front_r,neutral,248.0,8.88491947377557,False
0,front_r,neutral,250.0,9.480666743258984,False
0,front_r,neutral,252.0,10.070256371403149,False
0,front_r,neutral,254.0,10.652309619753472,False
0,front_r,neutral,256.0,11.126900547229953,False
0,front_r,neutral,258.0,11.497023121498241,False
0,front_r,neutral,260.0,11.883837824274991,False
0,front_r,neutral,262.0,12.286346492495225,False
0,front_r,neutral,264.0,12.703603300914587,False
0,front_r,neutral,266.0,13.134704392491663,False
0,front_r,neutral,268.0,13.578787876405348,False
0,front_r,neutral,270.0,14.035033957183366,False
0,front_r,neutral,272.0,14.502666307033188,False
0,front_r,neutral,274.0,14.980935394219324,False
0,front_r,neutral,276.0,15.469136705440494,False
0,front_r,neutral,278.0,15.966596328373845,False
0,front_r,neutral,280.0,16.472666881354336,False
0,front_r,neutral,282.0,16.986113956461466,False
0,front_r,neutral,284.0,17.505118561332054,False
0,front_r,neutral,286.0,18.028546786103732,False
0,front_r,neutral,288.0,18.555254465624543,False
0,front_r,neutral,290.0,19.084080512519563,False
0,front_r,neutral,292.0,19.61403682139385,False
0,front_r,neutral,294.0,20.147176996826946,False
0,front_r,neutral,296.0,20.68405374179517,False
0,front_r,neutral,298.0,21.225286703827457,False
0,front_r,neutral,300.0,21.765754630690434,False
0,front_r,neutral,302.0,22.302505608774403,False
0,front_r,neutral,304.0,22.834358057378264,False
0,front_r,neutral,306.0,23.36492188793462,False
0,front_r,neutral,308.0,23.899815960757874,False
0,front_r,neutral,310.0,24.43277114458501,False
0,front_r,neutral,312.0,24.957289128828755,False
0,front_r,neutral,314.0,25.472854313024946,False
0,front_r,neutral,316.0,26.0497513811253,False
0,front_r,neutral,318.0,26.702314625998707,False
0,front_r,neutral,320.0,27.39932497917599,False
0,front_r,neutral,322.0,28.031809439902613,False
0,front_r,neutral,324.0,28.644946266666558,False
0,front_r,neutral,326.0,29.22012188621852,False
0,front_r,neutral,328.0,29.745630260339787,False
0,front_r,neutral,330.0,30.253038233496994,False
0,front_r,neutral,332.0,30.69361684504938,False
0,front_r,neutral,334.0,31.12849895345325,False
0,front_r,neutral,336.0,31.489014498040763,False
0,front_r,neutral,338.0,31.84617521202504,False
0,front_r,neutral,340.0,32.13523099402325,False
0,front_r,neutral,342.0,32.40909445909158,False
0,front_r,neutral,344.0,32.642131003930416,False
0,front_r,neutral,346.0,32.82593465217568,False
0,front_r,neutral,348.0,33.00261798652518,False
0,front_r,neutral,350.0,33.110605611363525,False
0,front_r,neutral,352.0,33.21416329967378,False
0,front_r,neutral,354.0,33.257266001497776,False
0,front_r,neutral,356.0,33.24756331641802,False
0,front_r,neutral,358.0,33.16916139867903,False
0,front_r,neutral,360.0,33.06623909130846,False
16,front_r,neutral,0.0,38.39036026691952,False
16,front_r,neutral,2.0,38.29835418228144,False
16,front_r,neutral,4.0,38.20472689001666,False
16,front_r,neutral,6.0,38.056633093520176,False
16,front_r,neutral,8.0,37.873757288428315,False
16,front_r,neutral,10.0,37.673792386933314,False
16,front_r,neutral,12.0,37.405236233760796,False
16,front_r,neutral,14.0,37.132015464617695,False
16,front_r,neutral,16.0,36.79747764120368,False
16,front_r,neutral,18.0,36.44662690067362,False
16,front_r,neutral,20.0,36.06250787102934,False
16,front_r,neutral,22.0,35.626363915184015,False
16,front_r,neutral,24.0,35.19091924218482,False
16,front_r,neutral,26.0,34.69876876837912,False
16,front_r,neutral,28.0,34.18743956420936,False
16,front_r,neutral,30.0,33.650829413070554,False
16,front_r,neutral,32.0,33.063109644816564,False
16,front_r,neutral,34.0,32.47981825119106,False
16,front_r,neutral,36.0,31.847373016975933,False
16,front_r,neutral,38.0,31.196095750702113,False
