seconds,command,active_command,phase,gate_steps,rotating,estimated_floor,actual_floor,wheel_gap,tilt,angular_speed,impact,gate_quality,reward,clear_0,error_0,clear_1,error_1,clear_2,error_2,clear_3,error_3,action_0,q_0,reference_0,applied_0,action_1,q_1,reference_1,applied_1,action_2,q_2,reference_2,applied_2,action_3,q_3,reference_3,applied_3,action_4,q_4,reference_4,applied_4,action_5,q_5,reference_5,applied_5,action_6,q_6,reference_6,applied_6,action_7,q_7,reference_7,applied_7
0.07692307692307693,0,0,0,0,False,-0.00012546777725219727,-0.0009376471862196922,0.04401325434446335,0.000845727976411581,0.03010464832186699,0.0007529463618993759,0.3127409815788269,0.1249421164393425,-0.0009376471862196922,-1.145003318786621,-0.000941734469961375,1.0330485105514526,-0.0008342352230101824,-0.4001239538192749,-0.000812230515293777,2.9113614559173584,-0.10717803984880447,1.0123565196990967,1.0077522993087769,1.0057183504104614,0.010864661075174809,0.02584412693977356,0.02252085506916046,0.021509017795324326,-0.4541372060775757,-1.0136767625808716,-1.0077515840530396,-1.0150260925292969,0.6453563570976257,-0.023492630571126938,-0.022518077865242958,-0.00563439354300499,-0.1799711287021637,1.0105445384979248,1.0062804222106934,1.0052638053894043,-0.16483664512634277,0.020175019279122353,0.018484482541680336,0.016750728711485863,-0.21723251044750214,-1.0120794773101807,-1.0062777996063232,-1.0108567476272583,-0.4063073992729187,-0.021264035254716873,-0.01848566345870495,-0.029370849952101707
0.15384615384615385,0,0,0,0,False,-0.00013935565948486328,-0.000916308956220746,0.04390392452478409,0.0005980199784971774,0.0830877497792244,0.0012571201659739017,0.3139413595199585,0.1247788816690445,-0.000916308956220746,-1.1462242603302002,-0.0009512085234746337,1.0310426950454712,-0.0009184396476484835,-0.400456964969635,-0.000778145098593086,2.9122533798217773,-0.019077803939580917,1.0144962072372437,1.007741093635559,1.0030218362808228,-0.056497782468795776,0.03220478445291519,0.022488318383693695,0.020723143592476845,-0.28770506381988525,-1.0230343341827393,-1.0077403783798218,-1.0280243158340454,0.5939984917640686,-0.018204402178525925,-0.02248554676771164,0.02476116642355919,-0.3474680185317993,1.012081503868103,1.0062713623046875,0.9990220665931702,-0.23098203539848328,0.019645212218165398,0.018457777798175812,0.009113386273384094,-0.14661435782909393,-1.0218132734298706,-1.0062687397003174,-1.0175026655197144,-0.3553171753883362,-0.027627622708678246,-0.018458956852555275,-0.04851153492927551
0.23076923076923078,0,0,0,0,False,-0.00020900368690490723,-0.0008647998329252005,0.043776802718639374,0.0003452669770922512,0.11207596957683563,0.0011724000796675682,0.316849946975708,0.1243339329957962,-0.0008647998329252005,-1.1474709510803223,-0.0009495645062997937,1.0279027223587036,-0.001010829582810402,-0.40143486857414246,-0.0006563844508491457,2.9143948554992676,-0.08820302039384842,1.0118205547332764,1.0077152252197266,1.0015615224838257,-0.08635451644659042,0.03914817050099373,0.022413304075598717,0.01805339753627777,-0.23407098650932312,-1.0327006578445435,-1.0077145099639893,-1.0379770994186401,0.6188846230506897,-0.008114717900753021,-0.022410539910197258,0.05501045659184456,-0.4549212157726288,1.0079814195632935,1.0062505006790161,0.9874109625816345,-0.2901255786418915,0.015839360654354095,0.018396206200122833,-0.0027524062898010015,-0.13164086639881134,-1.03127121925354,-1.006247878074646,-1.0225533246994019,-0.3212437033653259,-0.039421211928129196,-0.018397383391857147,-0.066303551197052
0.3076923076923077,0,0,0,0,False,-0.00022280216217041016,-0.0007441395428031683,0.043757520616054535,0.0,0.12475302070379257,0.0026605557650327682,0.3237224221229553,0.12360269576311111,-0.0007441395428031683,-1.1478660106658936,-0.0010063635418191552,1.024011492729187,-0.001083939685486257,-0.4031949043273926,-0.0005234939162619412,2.9172298908233643,-0.16611428558826447,1.0055932998657227,1.0076700448989868,0.9987965822219849,-0.1078556478023529,0.04389471933245659,0.022281961515545845,0.0136963976547122,-0.21527071297168732,-1.041099190711975,-1.0076693296432495,-1.0440430641174316,0.657307505607605,0.0045748259872198105,-0.02227921411395073,0.08221688866615295,-0.5440216660499573,0.9991081357002258,1.006213903427124,0.9723225831985474,-0.30719152092933655,0.009739039465785027,0.018288403749465942,-0.016715502366423607,-0.12655557692050934,-1.0378376245498657,-1.006211280822754,-1.0259138345718384,-0.29190701246261597,-0.054222509264945984,-0.01828957349061966,-0.07968541979789734
0.38461538461538464,0,0,0,0,False,-0.00027139484882354736,-0.0006151746492832899,0.04390334337949753,0.0006905339541845024,0.12751157581806183,0.002322341315448284,0.33115875720977783,0.12302856892347336,-0.0006151746492832899,-1.1472289562225342,-0.0011901685502380133,1.0197604894638062,-0.0011158516863361,-0.40597155690193176,-0.000344997679349035,2.920409679412842,-0.2075575590133667,0.9971738457679749,1.0076016187667847,0.9940463304519653,-0.09183753281831741,0.04498127102851868,0.02208336442708969,0.008931527845561504,-0.20407609641551971,-1.0471909046173096,-1.0076009035110474,-1.0473335981369019,0.6846415996551514,0.019145378842949867,-0.022080641239881516,0.10594597458839417,-0.6055974960327148,0.9871156811714172,1.006158471107483,0.9557120203971863,-0.26717689633369446,0.0034181815572082996,0.018125401809811592,-0.029558319598436356,-0.11944781988859177,-1.0417832136154175,-1.0061558485031128,-1.0278739929199219,-0.25913968682289124,-0.06815657019615173,-0.018126560375094414,-0.08830952644348145
0.46153846153846156,0,0,0,0,False,-0.0003106147050857544,-0.0004661041311919689,0.04419312626123428,0.001423572306521237,0.12320198863744736,0.002013728953897953,0.33986973762512207,0.12265118956565857,-0.0004661041311919689,-1.1455636024475098,-0.0013505626702681184,1.0153802633285522,-0.0011288917157799006,-0.40955719351768494,-0.0001578765659360215,2.9233248233795166,-0.21152915060520172,0.9875752925872803,1.00750732421875,0.9883044958114624,-0.06719067692756653,0.04390668496489525,0.021809326484799385,0.005271626636385918,-0.17997892200946808,-1.0513297319412231,-1.0075066089630127,-1.0486164093017578,0.6992626190185547,0.035817865282297134,-0.021806638687849045,0.12604878842830658,-0.6128458380699158,0.9731348752975464,1.0060820579528809,0.9394398331642151,-0.20675741136074066,-0.0019232816994190216,0.017900479957461357,-0.03853687271475792,-0.13190029561519623,-1.0429515838623047,-1.0060795545578003,-1.0290011167526245,-0.2608596384525299,-0.07942815124988556,-0.017901625484228134,-0.09281424432992935
0.5384615384615385,0,0,0,0,False,-0.000365525484085083,-0.000354624236933887,0.04458550363779068,0.0020716022700071335,0.10778491199016571,0.001735929399728775,0.34581589698791504,0.12252482771873474,-0.000354624236933887,-1.1432430744171143,-0.0014881090028211474,1.0111206769943237,-0.0011919044191017747,-0.4137670397758484,9.598589713277761e-06,2.9254150390625,-0.18817660212516785,0.9787085652351379,1.0073851346969604,0.9830195903778076,-0.0217413492500782,0.041856613010168076,0.021454226225614548,0.0037605927791446447,-0.17356842756271362,-1.054236650466919,-1.0073844194412231,-1.048365831375122,0.7025653719902039,0.05299251526594162,-0.02145158126950264,0.14249995350837708,-0.5794625878334045,0.9594475626945496,1.0059829950332642,0.9255532026290894,-0.13315019011497498,-0.0052352831698954105,0.017609022557735443,-0.04215847700834274,-0.16315576434135437,-1.0417871475219727,-1.0059804916381836,-1.0301129817962646,-0.291031152009964,-0.08724764734506607,-0.017610149458050728,-0.09531892091035843
0.6153846153846154,0,0,0,0,False,-0.00032489001750946045,-0.0002631457755342126,0.04502006620168686,0.0027404725551605225,0.10274703055620193,0.001546209678053856,0.348233699798584,0.12243425101041794,-0.0002631457755342126,-1.1410152912139893,-0.0016192311886698008,1.0080574750900269,-0.0012392866192385554,-0.41857051849365234,6.045218469807878e-05,2.9239702224731445,-0.16927829384803772,0.973233699798584,1.0072338581085205,0.9792980551719666,-0.020402314141392708,0.04000033438205719,0.021014820784330368,0.0030758397188037634,-0.12217574566602707,-1.0592604875564575,-1.0072331428527832,-1.0454776287078857,0.7155751585960388,0.07043781876564026,-0.021012229844927788,0.15618881583213806,-0.5055082440376282,0.9490049481391907,1.005860447883606,0.9159021377563477,-0.07215235382318497,-0.006739656440913677,0.017248371616005898,-0.03866692632436752,-0.18466925621032715,-1.0323315858840942,-1.005858063697815,-1.0320515632629395,-0.43031546473503113,-0.09314165264368057,-0.01724947616457939,-0.09915996342897415
0.6923076923076923,0,0,0,0,False,-0.0003432929515838623,-0.00019899934704881161,0.04546969383955002,0.003797939047217369,0.07014644145965576,0.0010051997378468513,0.34713760018348694,0.12263966351747513,-0.00019899934704881161,-1.1392669677734375,-0.00170640938449651,1.0065642595291138,-0.0012489832006394863,-0.4236268997192383,0.0001390145771438256,2.9226787090301514,-0.16245177388191223,0.9705184102058411,1.007053256034851,0.9769819974899292,0.07323245704174042,0.0377882644534111,0.020490070804953575,0.005319699179381132,-0.29544126987457275,-1.063477635383606,-1.0070525407791138,-1.0436971187591553,0.7045790553092957,0.08645737171173096,-0.020487545058131218,0.16669011116027832,-0.5078772306442261,0.9420749545097351,1.0057141780853271,0.9105096459388733,-0.12253864854574203,-0.004566855728626251,0.016817672178149223,-0.033083476126194,-0.26029378175735474,-1.0323035717010498,-1.0057117938995361,-1.034938931465149,-0.4104897677898407,-0.09918540716171265,-0.01681874878704548,-0.1066553145647049
0.7692307692307693,0,0,0,0,False,-0.0005629807710647583,-0.0002287684619659558,0.045874156057834625,0.004256740678101778,0.05669767037034035,0.00099115539342165,0.3341948091983795,0.12291485071182251,-0.0002287684619659558,-1.1376917362213135,-0.0017649014480412006,1.0051807165145874,-0.0012327063595876098,-0.42820316553115845,0.0003230654401704669,2.9215328693389893,-0.12500129640102386,0.9688639640808105,1.0068435668945312,0.9759783148765564,0.10552499443292618,0.0374390073120594,0.019880961626768112,0.011547143571078777,-0.3574518859386444,-1.0663456916809082,-1.006842851638794,-1.046393871307373,0.697646975517273,0.10022386908531189,-0.019878510385751724,0.1740836352109909,-0.4790972173213959,0.9366936087608337,1.0055443048477173,0.9076740145683289,-0.10726122558116913,-0.0004823608906008303,0.016317730769515038,-0.028902430087327957,-0.297573059797287,-1.035539984703064,-1.0055419206619263,-1.0394060611724854,-0.40037450194358826,-0.10657470673322678,-0.016318775713443756,-0.11408016085624695
