time_s,phase,front_r__front_l_m,front_r__back_r_m,front_r__back_l_m,front_l__back_r_m,front_l__back_l_m,back_r__back_l_m
0.0,initial,0.16815202222767747,0.05065325742849062,0.18841179198842517,0.18968267251191506,0.05087000343074392,0.14615289647137708
0.24999999999999933,initial_hold,0.1682877180650811,0.05077109421531028,0.18869564274427714,0.18996094626364934,0.050894602775988146,0.1463232517920121
0.49999999999999845,initial_hold,0.16861241896516302,0.050728533698919005,0.18888485545084657,0.19013983830878656,0.05086499407270204,0.1466612915611607
0.7499999999999976,initial_hold,0.16892539921918692,0.05069620540660986,0.1890654559910077,0.1903194112252441,0.050833106721269956,0.1469829212608436
0.9999999999999967,initial_hold,0.16921851276705885,0.050666433381069916,0.18923384524991765,0.1904869069287261,0.050804001601550866,0.1472831228961423
1.2499999999999958,initial_hold,0.16949300054831032,0.05063916394387681,0.1893910534527591,0.19064332803029596,0.05077736752738814,0.1475633244576752
1.499999999999995,initial_hold,0.16975000332626494,0.05061417503715582,0.18953780161364162,0.19078938604737156,0.050752973655698294,0.14782480626475633
1.749999999999994,initial_hold,0.16999058349421858,0.050591262722459784,0.18967475683764518,0.19092574021343658,0.050730618638045503,0.14806876665295074
1.9999999999999931,initial_hold,0.17021574592062846,0.050570243002271045,0.18980254869613197,0.19105301261248805,0.05071011983482319,0.14829633478875032
2.2499999999999925,shift,0.1704442615649983,0.05052006731940682,0.18993938974725746,0.1911067261700313,0.05068320455248852,0.14851150845974845
2.4615384615384532,shift,0.17076462393540753,0.05032912611035148,0.1900807547216314,0.19085442175693942,0.05060314911866641,0.14869913409741078
2.4807692307692224,shift,0.17083476217759683,0.050263185741447454,0.19009013861570176,0.1908239055539629,0.05058207573930626,0.14872326501514654
2.4999999999999916,shift,0.17090078871169995,0.05020423823111183,0.1901074291681067,0.19078536203526866,0.05056497933523847,0.1487443365930481
2.5192307692307607,shift,0.17096436138363982,0.050149751570900965,0.19012887623430694,0.19074022631718493,0.05055182713957199,0.1487628260110118
2.53846153846153,shift,0.17107985865239977,0.050092271055336646,0.1901505979283622,0.19071112479374647,0.050543508044274765,0.14878643759441104
2.557692307692299,shift,0.1718155246096262,0.04973338756707567,0.19019891699599284,0.19066638480718875,0.050465164380229105,0.14879051568561005
2.576923076923068,shift,0.17284811921823723,0.04904995593445194,0.19024980694666804,0.19056795115401237,0.05038817062618361,0.1487932616238098
2.5961538461538374,shift,0.17395038632006252,0.048131074865998213,0.19027922424870408,0.19044171026649062,0.050395992914209625,0.1487938109078817
2.6153846153846065,shift,0.17503222587980624,0.04716011332413429,0.19037463539695387,0.1903326565059986,0.050531033390514325,0.14886449012593048
2.6346153846153757,shift,0.1760268009701641,0.0462365877594507,0.19047042179835388,0.19026609764220714,0.0507063418006997,0.14897751664134443
2.653846153846145,shift,0.17690502372433692,0.04537351360582536,0.19053936969628588,0.1902316779747866,0.050924663023853796,0.14909566564325333
2.673076923076914,shift,0.1776657184202249,0.04451486253226644,0.19054890522288687,0.19021979115073256,0.051208494887075275,0.14918411840122203
2.692307692307683,shift,0.17825201460802242,0.04371928238247145,0.19053199596490422,0.19018663351939344,0.0515737005096344,0.14922335459608496
2.7499999999999907,shift,0.17971099526531664,0.04161429719932193,0.1905208704455468,0.1901761908925859,0.0530301946304918,0.1493497780482093
2.99999999999999,shift,0.18484559866122052,0.03329272681126056,0.18994437555006924,0.19026538584065747,0.05867814630749259,0.14966845883614247
3.249999999999989,shift,0.18837559070967583,0.026258122828530836,0.189741122938436,0.19030976896285126,0.06368806911903253,0.15053054448785008
3.499999999999988,shift,0.19048081457109486,0.022713240790175768,0.1898453857977141,0.1903720665130796,0.06650904973867097,0.15123832753381924
3.749999999999987,lift,0.19115042924601217,0.021877773241640006,0.19004417453308753,0.19034209671409813,0.06701490162331551,0.1514437334086133
3.9999999999999862,lift,0.19149299570532927,0.021945418970039345,0.19025870535376105,0.1906849983094266,0.06716467155530446,0.15173188748173824
4.192307692307722,lift,0.19173460190453354,0.021834573525066653,0.19041947993310324,0.19182434187722783,0.06724618851565234,0.15269762340824208
4.211538461538495,lift,0.19175804359853404,0.021825061495657747,0.19043531173625827,0.19200270017804918,0.06725469507030434,0.15284454394736877
4.230769230769269,lift,0.19178135504295452,0.02181692274473516,0.19045108020585708,0.19219425019107209,0.06726323504366641,0.15300171858880407
4.250000000000043,lift,0.19180453441171455,0.021810497363618116,0.19046679154012905,0.19239929886261967,0.06727179345844989,0.15316940743110047
4.269230769230816,lift,0.1918275801951731,0.021806169893287677,0.19048245188284862,0.19261813793599517,0.06728035718350196,0.15334785628293815
4.28846153846159,lift,0.19185049132596255,0.02180437371965631,0.19049806736235192,0.19285104468545342,0.06728891543517898,0.1535372947218024
